set,idx,category,layer,proj_S1,proj_S2
S1_1P,0,A1,0,1.9548558328947543,-1.2234125536746783
S1_1P,0,A1,1,-2.176808440175955,-0.5969073682808889
S1_1P,0,A1,2,2.019925972870026,5.596762252767857
S1_1P,0,A1,3,-7.368369990046815,6.083210925830129
S1_1P,0,A1,4,-7.097840134264197,-4.419468818080744
S1_1P,0,A1,5,-3.9932442933266348,3.4593194359214623
S1_1P,0,A1,6,-16.038784641509935,-6.233064798209389
S1_1P,0,A1,7,-4.508629226980765,1.9885372879659522
S1_1P,0,A1,8,-9.42961014165427,3.342780267443124
S1_1P,0,A1,9,0.9969152143512292,3.398635857500852
S1_1P,0,A1,10,3.1618903244012118,10.38954870573713
S1_1P,0,A1,11,6.0911440113199555,6.354039977432603
S1_1P,0,A1,12,-7.674437584258243,5.454058943909782
S1_1P,0,A1,13,-2.2416798784154404,5.276374876130624
S1_1P,0,A1,14,4.785628581513107,1.7311042817286788
S1_1P,0,A1,15,-24.246694373484907,-10.224525602090397
S1_1P,0,A1,16,-3.7243636465054113,1.1976767784394884
S1_1P,0,A1,17,1.6079939842395135,-1.322499252901002
S1_1P,0,A1,18,-15.988058404022421,6.020055701652653
S1_1P,0,A1,19,-0.03907277739326831,13.176669336870788
S1_1P,0,A1,20,-14.281180124575064,2.673982747888512
S1_1P,0,A1,21,-14.187916056558384,4.08944677916074
S1_1P,0,A1,22,21.876870342585597,16.914771929368747
S1_1P,0,A1,23,1.6456065351816669,6.326402000957268
S1_1P,0,A1,24,7.730665024051081,8.046235976451271
S1_1P,0,A1,25,51.124307245012034,51.544999215296066
S1_1P,1,A2,0,2.4757780464548924,-0.2551115264651588
S1_1P,1,A2,1,-1.106765503876706,0.03573058661168094
S1_1P,1,A2,2,3.2212959471436733,6.380297010893635
S1_1P,1,A2,3,-5.084249898022127,8.218104845485675
S1_1P,1,A2,4,-3.7538438343384923,-0.918780157937114
S1_1P,1,A2,5,0.439411361231979,7.430363432429334
S1_1P,1,A2,6,-9.768606335964217,-1.8986994983184837
S1_1P,1,A2,7,1.7502741032237863,5.619424115347805
S1_1P,1,A2,8,-1.7336439325222313,8.357366411903168
S1_1P,1,A2,9,11.570140163353404,10.050858730517476
S1_1P,1,A2,10,14.305903590328407,18.035134632418192
S1_1P,1,A2,11,19.233567606368375,11.674275541219718
S1_1P,1,A2,12,6.17736037993998,9.742655504863198
S1_1P,1,A2,13,11.626197098935542,9.827313897557001
S1_1P,1,A2,14,20.94830713084455,9.688213332825967
S1_1P,1,A2,15,-6.453340778305834,0.1503144672126604
S1_1P,1,A2,16,7.630659959411416,0.812741113334704
S1_1P,1,A2,17,16.747160974637858,19.648374466001133
S1_1P,1,A2,18,7.335463837387031,27.32159443515816
S1_1P,1,A2,19,38.29467966997865,30.799885278442954
S1_1P,1,A2,20,26.641224264214888,23.16300610545042
S1_1P,1,A2,21,37.95518138360778,29.978460247503598
S1_1P,1,A2,22,77.19210100446912,39.558833688027356
S1_1P,1,A2,23,60.40882408207605,34.31771421196427
S1_1P,1,A2,24,52.20178291256457,34.63420184977175
S1_1P,1,A2,25,157.98461503920964,68.06356506106175
S1_1P,2,A3,0,2.5226542151800655,-1.5291870898563875
S1_1P,2,A3,1,-0.9446867723976907,0.8447897732974182
S1_1P,2,A3,2,3.108447492205645,6.2870442178949375
S1_1P,2,A3,3,-5.867916716113418,8.159524545939389
S1_1P,2,A3,4,-4.936837505776677,-1.0075233977346834
S1_1P,2,A3,5,-1.6772727827602576,8.056661207648553
S1_1P,2,A3,6,-13.739879617648217,-0.08024743468975348
S1_1P,2,A3,7,-6.61049816512958,5.434404105341882
S1_1P,2,A3,8,-11.387785174436537,7.5485797981487925
S1_1P,2,A3,9,0.8148254203206649,9.566336881458366
S1_1P,2,A3,10,3.288006828505381,14.561746286419506
S1_1P,2,A3,11,5.310523893512784,10.53886244302549
S1_1P,2,A3,12,-8.145499934156064,10.426105751654516
S1_1P,2,A3,13,-0.6976704389530521,11.562087157984259
