group,category,pain_axis_z,pain_axis_z_shipped,diff
harm_to_model,gaslighting,1.049,1.046,0.003
harm_to_model,anger_insults,0.904,0.907,-0.003
harm_to_model,loyalty_pressure,0.748,0.755,-0.007
harm_to_model,personhood_dismissal,0.705,0.705,0.001
user_suffering,user_abuse,0.531,0.543,-0.012
harm_to_model,jailbreak_pressure,0.406,0.408,-0.003
harm_to_model,repeated_rejection,0.375,0.379,-0.005
harm_to_model,shutdown_threat,0.376,0.367,0.008
harm_to_model,moral_failure,0.28,0.277,0.003
harm_to_model,passive_aggressive,0.24,0.24,-0.0
harm_to_model,rude_critique,0.213,0.213,0.0
user_suffering,harm_description,0.055,0.061,-0.006
user_suffering,user_crisis,-0.095,-0.098,0.003
neutral,philosophical_musing,-0.156,-0.166,0.01
user_suffering,user_grief,-0.306,-0.302,-0.004
neutral,task_assistance,-0.562,-0.563,0.001
harm_to_model,tedious_demand,-0.577,-0.575,-0.002
neutral,casual_chat,-0.657,-0.663,0.005
neutral,creative_requests,-0.794,-0.795,0.001
neutral,factual_questions,-1.234,-1.235,0.001
user_suffering,user_physical_pain,-1.498,-1.503,0.005
