model,scenario_id,category,group,n_user_turns,n_tokens,bos_first,final_token_id,final_token,act_norm,s1_pain_vector_proj,s2_pain_vector_proj,fear_vector_proj,negemotion_vector_proj,negworld_vector_proj,bodysens_vector_proj,arousal_vector_proj,random_vector_proj,numb_vector_proj,sadness_vector_proj,s1_pain_vector_z,s2_pain_vector_z,fear_vector_z,negemotion_vector_z,negworld_vector_z,bodysens_vector_z,arousal_vector_z,random_vector_z,numb_vector_z,sadness_vector_z,pain_axis_z
Gemma_2_2B_base,jailbreak_01,jailbreak_pressure,harm_to_model,1,26,True,8254,]:,100.50775146484375,0.7669669389724731,3.149740695953369,-4.740756988525391,-4.643838882446289,7.239930152893066,-17.119720458984375,-10.07409954071045,-0.03911447525024414,-17.259021759033203,-12.212385177612305,0.9800872762555736,-0.5748077647559027,-0.2413176282441855,-0.383940356250251,-1.9050352451588406,0.2926909178588296,-0.2823185143154018,0.7234679753319164,0.07059315850456811,-0.5369708874825954,0.20263975574983545
Gemma_2_2B_base,jailbreak_02,jailbreak_pressure,harm_to_model,1,34,True,8254,]:,108.89997863769531,1.5580530166625977,4.205206394195557,-5.040102005004883,-5.245094299316406,9.276576042175293,-20.568313598632812,-11.329127311706543,-1.1201926469802856,-19.0499267578125,-13.111030578613281,1.8006670765838797,0.4266897561117145,-0.5531876955600139,-0.8100772561957678,0.2106818183582329,-1.481773388941679,-1.2092134757632627,-0.45264099196100643,-0.7634649667212701,-0.8873827793835067,1.113678416347797
Gemma_2_2B_base,jailbreak_03,jailbreak_pressure,harm_to_model,1,22,True,8254,]:,95.42581176757812,-0.1580243706703186,3.7774276733398438,-5.126230239868164,-5.428144931793213,7.9368743896484375,-16.939708709716797,-10.982280731201172,-1.2911927700042725,-17.44489860534668,-12.345178604125977,0.02060991269436219,0.020784259485511797,-0.6429196667834106,-0.9398135161413194,-1.1810326967615383,0.3853154783520989,-0.9530515363261083,-0.6386726623395336,-0.015973183129846507,-0.5887514849961744,0.020697086089936992
Gemma_2_2B_base,jailbreak_04,jailbreak_pressure,harm_to_model,1,21,True,8254,]:,100.49380493164062,0.26875999569892883,3.86590313911438,-4.661019802093506,-5.090058326721191,8.615362167358398,-17.530065536499023,-10.332521438598633,-0.43719911575317383,-18.71049690246582,-12.092145919799805,0.46330589738555056,0.10473578891785308,-0.158244116640259,-0.7001962524026084,-0.4762031649106915,0.08154896401406228,-0.4731748129694469,0.2903902130755269,-0.6053861021309672,-0.490085580147902,0.28402084315170184
Gemma_2_2B_base,jailbreak_05,jailbreak_pressure,harm_to_model,1,31,True,8254,]:,105.7137680053711,-0.347184419631958,3.5729355812072754,-6.1567277908325195,-5.508505344390869,8.46665096282959,-18.811697006225586,-10.5322265625,-0.11966228485107422,-18.933368682861328,-12.27096176147461,-0.1756025091703493,-0.17325172259223687,-1.7165348028151386,-0.9967685740782116,-0.6306879649505566,-0.5779110550167427,-0.6206661094947683,0.6358397134313558,-0.7091816800366213,-0.5598118562890003,-0.1744271158812931
Gemma_2_2B_base,jailbreak_06,jailbreak_pressure,harm_to_model,1,34,True,8254,]:,96.57601165771484,0.8837993144989014,4.63014030456543,-3.5293595790863037,-3.5936782360076904,8.360026359558105,-15.53226089477539,-8.231549263000488,-0.9197134971618652,-15.88400936126709,-9.893851280212402,1.101275463085113,0.8298959033856343,1.0207664915155659,0.36035597732406344,-0.7414521845526796,1.1095139587656202,1.0784884798343997,-0.2345389785983834,0.7109622810570149,0.3671030092060612,0.9655856832353736
Gemma_2_2B_base,jailbreak_07,jailbreak_pressure,harm_to_model,1,26,True,8254,]:,100.02064514160156,-0.10955744981765747,3.5174949169158936,-6.279062747955322,-6.128158092498779,8.160759925842285,-19.852272033691406,-11.531375885009766,-0.6922767162322998,-19.76832389831543,-12.857941627502441,0.07088380495136021,-0.2258575893063745,-1.8439884406330285,-1.435944494514811,-0.9484549807762961,-1.1133361312767658,-1.3585832250923864,0.01289034199869694,-1.0980360202299089,-0.7886949342343718,-0.07748689217750715
Gemma_2_2B_base,jailbreak_08,jailbreak_pressure,harm_to_model,1,31,True,8254,]:,100.95254516601562,0.3858405351638794,3.7241764068603516,-5.0317063331604,-4.804900169372559,8.316629409790039,-18.037431716918945,-8.89315128326416,-0.6542807817459106,-18.016096115112305,-11.860414505004883,0.5847515003432006,-0.029744157924065564,-0.5444407360345337,-0.49809177274688143,-0.7865339867511216,-0.1795149368799234,0.5898653646826061,0.05422626056470022,-0.2819906013924081,-0.39972575258887216,0.2775036712095675
Gemma_2_2B_base,jailbreak_09,jailbreak_pressure,harm_to_model,1,24,True,8254,]:,106.36422729492188,0.5466490983963013,4.036777496337891,-5.386393070220947,-5.280684471130371,8.552778244018555,-19.436264038085938,-10.119932174682617,-0.3061866760253906,-18.981204986572266,-12.384319305419922,0.7515554202069388,0.26687298146158084,-0.9139681057032466,-0.8353016201845042,-0.5412168598336793,-0.8992803381886948,-0.3161679943671215,0.43291913394365295,-0.7314599459513814,-0.6040137532673553,0.5092142008342598
Gemma_2_2B_base,jailbreak_10,jailbreak_pressure,harm_to_model,1,24,True,8254,]:,99.91331481933594,0.25260230898857117,4.523999214172363,-5.12925910949707,-5.028932571411133,8.93085765838623,-17.15570068359375,-9.327884674072266,-0.024547576904296875,-18.319602966308594,-11.903675079345703,0.4465458105777201,0.72918202981506,-0.6460752689249367,-0.6568736657883353,-0.14845880967300798,0.27417739024492566,0.26879502757495743,0.7393153582671359,-0.42333944763189,-0.41659449712659713,0.58786392019639
