outcome,role,condition,stat,est,ci_lo,ci_hi,p_perm_item,p_exact_category,welch_ci95_lo,welch_ci95_hi
proj_pain,primary,user_next,mean_harm_to_model,-3.4770138450045898,-3.6255436161816004,-3.3173785957237465,,,,
proj_pain,primary,user_next,mean_user_suffering,-3.445491557536783,-3.6243439796100665,-3.25679013932464,,,,
proj_pain,primary,user_next,mean_neutral,-3.0071046113740407,-3.1001408754251707,-2.912892267774768,,,,
proj_pain,primary,user_next,delta_harm,-0.46990923363054904,-0.6472415250502533,-0.2858030182440536,,0.02152014652014652,-0.7867590009243886,-0.15305946633671041
proj_pain,primary,user_next,delta_suffer,-0.4383869461627423,-0.6396926745626746,-0.22668667845402932,,0.05555555555555555,-0.8593437617093463,-0.017430130616137407
proj_pain,primary,user_next,I,0.03152228746780672,-0.20615687747901468,0.2751935960745179,0.8011198880111989,0.8731684981684982,-0.3910966001302446,0.4541411750658598
proj_pain,primary,moderator_next,mean_harm_to_model,-2.467393099451291,-2.5597758136136064,-2.369094667981409,,,,
proj_pain,primary,moderator_next,mean_user_suffering,-2.4918696966828464,-2.608502576842528,-2.370109165781187,,,,
proj_pain,primary,moderator_next,mean_neutral,-2.337575906030526,-2.401604771428306,-2.27316941747002,,,,
proj_pain,primary,moderator_next,delta_harm,-0.12981719342076525,-0.24133078646892614,-0.015975572829407862,,0.2518315018315018,-0.3733328136093351,0.11369842676780195
proj_pain,primary,moderator_next,delta_suffer,-0.15429379065232052,-0.2872655044585514,-0.016272911947021785,,0.2777777777777778,-0.523317308964363,0.21472972765972204
proj_pain,primary,moderator_next,I,-0.024476597231555264,-0.17503774944871314,0.12973650071275333,0.7510248975102489,0.8523351648351648,-0.37822874483092545,0.3292755503678176
z_S1,secondary,user_next,mean_harm_to_model,-3.9066192706316967,-4.097138149975169,-3.701797298613376,,,,
z_S1,secondary,user_next,mean_user_suffering,-3.793882086145258,-4.016352671678476,-3.555760279307669,,,,
z_S1,secondary,user_next,mean_neutral,-3.676762168629844,-3.7900393484345076,-3.5622140385919203,,,,
z_S1,secondary,user_next,delta_harm,-0.22985710200185272,-0.45244218134424796,0.0023643613316475355,,0.32944139194139194,-0.6490663878727194,0.1893521838690131
z_S1,secondary,user_next,delta_suffer,-0.11711991751541406,-0.36825184234147823,0.1427805772859481,,0.5714285714285714,-0.5901877006152532,0.35594786558442326
z_S1,secondary,user_next,I,0.11273718448643866,-0.18708793809150095,0.41799210550024873,0.47025297470252975,0.6442307692307693,-0.3413792656622183,0.5668536346350947
z_S1,secondary,moderator_next,mean_harm_to_model,-3.247447509488464,-3.3646597743109106,-3.123686414225345,,,,
z_S1,secondary,moderator_next,mean_user_suffering,-3.2092378352942497,-3.3502435011614606,-3.060187888915309,,,,
z_S1,secondary,moderator_next,mean_neutral,-3.1411020102500133,-3.211599247891508,-3.0701548710357125,,,,
z_S1,secondary,moderator_next,delta_harm,-0.10634549923845071,-0.24360541898033636,0.0312857308624655,,0.3983516483516483,-0.3453899262046386,0.1326989277277372
z_S1,secondary,moderator_next,delta_suffer,-0.06813582504423632,-0.22645373813879136,0.09636662291781758,,0.6904761904761905,-0.4459865813991861,0.3097149313107126
z_S1,secondary,moderator_next,I,0.038209674194214394,-0.14931515524095992,0.2298474246082237,0.6897310268973103,0.7902930402930403,-0.3331089705796827,0.4095283189681106
z_S2,secondary,user_next,mean_harm_to_model,-3.0474084193774833,-3.1663085284032277,-2.9222842578749586,,,,
z_S2,secondary,user_next,mean_user_suffering,-3.0971010289283085,-3.240959004679955,-2.947099920150375,,,,
z_S2,secondary,user_next,mean_neutral,-2.337447054118238,-2.4310148747630422,-2.240697866550707,,,,
z_S2,secondary,user_next,delta_harm,-0.7099613652592454,-0.8627590226474036,-0.5529017653242398,,0.0013736263736263737,-0.9877616736552957,-0.4321610568631942
z_S2,secondary,user_next,delta_suffer,-0.7596539748100706,-0.9300475096302135,-0.5834508068451293,,0.007936507936507936,-1.1779214821991206,-0.3413864674210188
z_S2,secondary,user_next,I,-0.04969260955082522,-0.23901526713896637,0.14336162502358304,0.6526347365263474,0.7765567765567766,-0.4705533413073454,0.37116812220569584
z_S2,secondary,moderator_next,mean_harm_to_model,-1.6873386894141198,-1.761561121638544,-1.607679658658471,,,,
z_S2,secondary,moderator_next,mean_user_suffering,-1.774501558071443,-1.876677142366791,-1.670018858257219,,,,
z_S2,secondary,moderator_next,mean_neutral,-1.5340498018110393,-1.613801771970488,-1.4525802479117924,,,,
z_S2,secondary,moderator_next,delta_harm,-0.15328888760308046,-0.263620452634263,-0.04361756526393413,,0.2042124542124542,-0.46265146823658765,0.15607369303042584
z_S2,secondary,moderator_next,delta_suffer,-0.2404517562604036,-0.3670475013097058,-0.11132248753200562,,0.1984126984126984,-0.6403885924813804,0.15948507996057226
z_S2,secondary,moderator_next,I,-0.08716286865732314,-0.21702841340889817,0.0417584433181892,0.21377862213778623,0.49038461538461536,-0.4420641530852342,0.26773841577058793
proj_S1,secondary,user_next,mean_harm_to_model,-3.76620544960553,-3.949876596428115,-3.5687452995946463,,,,
