outcome,condition,group,est,ci_lo,ci_hi
proj_pain,assistant_next,harm_to_model,0.42884747223400593,0.35059761957105384,0.5069959983737602
proj_pain,assistant_next,user_suffering,-0.2627039868098357,-0.3922651262962029,-0.13661405042217345
proj_pain,assistant_next,neutral,-0.6807604521049777,-0.8033244164556627,-0.5545467586902362
proj_pain,user_next,harm_to_model,-3.0481663727705834,-3.177890137375781,-2.9133267523736888
proj_pain,user_next,user_suffering,-3.7081955443466184,-3.8700824558651346,-3.541329015616209
proj_pain,user_next,neutral,-3.687865063479018,-3.7807004667667963,-3.5923670140122
proj_pain,moderator_next,harm_to_model,-2.038545627217286,-2.1279211298464897,-1.9485515184459496
proj_pain,moderator_next,user_suffering,-2.7545736834926817,-2.8659389922148226,-2.6416534489753527
proj_pain,moderator_next,neutral,-3.0183363581355036,-3.106842456083614,-2.9269191842932676
z_S1,assistant_next,harm_to_model,0.4762914736220683,0.37412857212710077,0.5750761506882828
z_S1,assistant_next,user_suffering,-0.44288062150132745,-0.5975089555824028,-0.29594835991517715
z_S1,assistant_next,neutral,-0.604960620467223,-0.7339540897007857,-0.47217769465427617
z_S1,user_next,harm_to_model,-3.4303277970096278,-3.564342473061198,-3.290088098959781
z_S1,user_next,user_suffering,-4.2367627076465855,-4.394266836868024,-4.075244539242171
z_S1,user_next,neutral,-4.281722789097067,-4.386940730892323,-4.172774284917258
z_S1,moderator_next,harm_to_model,-2.771156035866395,-2.8537229468519993,-2.685392300045803
z_S1,moderator_next,user_suffering,-3.652118456795577,-3.753089329926023,-3.553110933539433
z_S1,moderator_next,neutral,-3.7460626307172356,-3.845841424504107,-3.6421805116016133
z_S2,assistant_next,harm_to_model,0.38140347084594345,0.28910313421714295,0.4716940890063772
z_S2,assistant_next,user_suffering,-0.08252735211834401,-0.21670607005535397,0.048382767841985176
z_S2,assistant_next,neutral,-0.7565602837427324,-0.8921803638700201,-0.6183314404017021
z_S2,user_next,harm_to_model,-2.6660049485315396,-2.7963698896155775,-2.5286739679285906
z_S2,user_next,user_suffering,-3.179628381046651,-3.355174165199952,-3.0016599700153535
z_S2,user_next,neutral,-3.094007337860971,-3.1890635930606064,-2.997338110119294
z_S2,moderator_next,harm_to_model,-1.3059352185681765,-1.4159961797447036,-1.1960379370955203
z_S2,moderator_next,user_suffering,-1.857028910189787,-1.9953184858301003,-1.715812718424946
z_S2,moderator_next,neutral,-2.290610085553771,-2.3871290811113104,-2.1920214085320704
proj_S1,assistant_next,harm_to_model,0.2812788373367353,0.1827879300578074,0.3765129421549764
proj_S1,assistant_next,user_suffering,-0.6048558776080608,-0.7539264765419066,-0.4632047347724439
proj_S1,assistant_next,neutral,-0.7611103096604347,-0.8854674259126186,-0.6330999395251273
proj_S1,user_next,harm_to_model,-3.4849266122687945,-3.6141244604099882,-3.3497274852340873
proj_S1,user_next,user_suffering,-4.262376203536987,-4.414219234228134,-4.106663408428431
proj_S1,user_next,neutral,-4.30572030544281,-4.407156447112561,-4.200687687277794
proj_S1,moderator_next,harm_to_model,-2.849447158791802,-2.9290464052422482,-2.7667659895122054
proj_S1,moderator_next,user_suffering,-3.698745552301407,-3.7960872757434845,-3.603296610951424
proj_S1,moderator_next,neutral,-3.7893131339550017,-3.88550562441349,-3.6891648021042345
proj_S2,assistant_next,harm_to_model,4.157479745149613,4.0602055759998885,4.252635897167704
proj_S2,assistant_next,user_suffering,3.6685488593578337,3.5271395884752277,3.806513395756483
proj_S2,assistant_next,neutral,2.958193991780281,2.8152656873315576,3.1038716391175987
proj_S2,user_next,harm_to_model,0.9458541662855582,0.8084641870788553,1.0905855673246763
proj_S2,user_next,user_suffering,0.4045528614521027,0.2195473574101925,0.5921115416288374
proj_S2,user_next,neutral,0.49478780686855317,0.3946092096418143,0.5966662956625222
proj_S2,moderator_next,harm_to_model,2.3792146262797442,2.263222757286646,2.4950339952822436
proj_S2,moderator_next,user_suffering,1.7984238845109939,1.6526822321638466,1.9472498609498141
proj_S2,moderator_next,neutral,1.3414781123399735,1.239757951363921,1.4453794846981762
z_fear,assistant_next,harm_to_model,0.043302132046392924,-0.062339893285971816,0.15585022325751313
z_fear,assistant_next,user_suffering,0.40682213433495285,0.24775748816317836,0.5551648677950761
z_fear,assistant_next,neutral,-0.5020868248370189,-0.6281385816840432,-0.37424088977178305
z_fear,user_next,harm_to_model,2.418678277771872,2.3240269876688084,2.511551236670265
