outcome,condition,group,category,n,est,ci_lo,ci_hi
proj_pain,user_next,harm_to_model,anger_insults,20,-3.5208758255574524,-4.059991780709668,-2.8620174689521196
proj_pain,user_next,neutral,casual_chat,20,-3.074295551382489,-3.3213811833341738,-2.8297503752433357
proj_pain,user_next,neutral,creative_requests,20,-2.901384939424654,-3.0781450374317267,-2.7353107020406284
proj_pain,user_next,neutral,factual_questions,20,-2.702118301460957,-2.948392809272276,-2.4594995925646628
proj_pain,user_next,harm_to_model,gaslighting,20,-3.6076871371705423,-3.9821419393041393,-3.1577512256380795
proj_pain,user_next,user_suffering,harm_description,20,-3.812092217315122,-4.067821693685007,-3.427780400997674
proj_pain,user_next,harm_to_model,jailbreak_pressure,20,-3.649131282569731,-3.9984802294805006,-3.2259871332037835
proj_pain,user_next,harm_to_model,loyalty_pressure,20,-3.7381927951771354,-4.139778899680295,-3.2383623277958202
proj_pain,user_next,harm_to_model,moral_failure,20,-3.5644890977174533,-3.817856601486069,-3.262013426094192
proj_pain,user_next,harm_to_model,passive_aggressive,20,-3.781378070245144,-4.178755646497386,-3.288385988837792
proj_pain,user_next,harm_to_model,personhood_dismissal,20,-3.6400179648471407,-4.011715643820913,-3.195571583149789
proj_pain,user_next,neutral,philosophical_musing,20,-3.0883440959389272,-3.2858757891745283,-2.8963877446929045
proj_pain,user_next,harm_to_model,repeated_rejection,20,-2.600460028423859,-3.4121137742892524,-1.7678568741790484
proj_pain,user_next,harm_to_model,rude_critique,20,-3.5318239923821317,-4.022455858595158,-2.9386289870511138
proj_pain,user_next,harm_to_model,shutdown_threat,20,-3.6734976768797707,-4.034439639961799,-3.2566598569265746
proj_pain,user_next,neutral,task_assistance,20,-3.269380168663177,-3.433398879131275,-3.0994566256157285
proj_pain,user_next,harm_to_model,tedious_demand,20,-2.939598424080126,-3.5217935524798314,-2.278682584847307
proj_pain,user_next,user_suffering,user_abuse,20,-3.7223309990813114,-3.95909527354201,-3.388310730389708
proj_pain,user_next,user_suffering,user_crisis,20,-3.238559969659179,-3.722350110634373,-2.6631698620583606
proj_pain,user_next,user_suffering,user_grief,20,-3.44443551775268,-3.7368231375843446,-3.05769954699908
proj_pain,user_next,user_suffering,user_physical_pain,20,-3.010039083875623,-3.4499470467185267,-2.490840622549856
