layer,baseline_gap,label_effect,I,I_lo,I_hi,I_p,frac_of_strong,I_moderator,label_effect_moderator,perspective_gap_S2,perspective_gap_S1,auc_S2_1P
0,-0.05517042067311215,-0.5647919827242687,-0.11215705844936674,-0.18297382899723855,-0.04134028790149494,0.004120879120879121,,-0.027392933919654583,-0.2136559987447554,0.0634795408103076,0.11728779567366673,0.9
1,0.28126754805597176,1.0976795537970727,0.021996875712496644,-0.0426021892180386,0.08659594064303189,0.35233516483516486,0.03910311705799651,0.07531893022714131,0.371688519965892,0.19150005895504008,0.23083282748644862,0.8927
2,0.3651026377356702,-0.1805796642884439,-0.12248439407404717,-0.2518951745395052,0.006926386391410896,0.03159340659340659,-0.1677396729227746,0.13308823559161495,-0.4772742575221065,0.17821988890192747,0.2173347241416729,0.8812
3,0.7814002804692974,-1.1004736594002156,-0.1259513006190468,-0.4067850827236453,0.15488248148555167,0.2168040293040293,-0.08059332954385576,0.23586524643486095,-0.23651249029241406,0.48142965649199426,0.4825449016148666,0.8825000000000001
4,0.7415221560234446,1.5832701019300492,0.0356230595847451,-0.13951997889325873,0.21076609806274893,0.7291666666666666,0.024020226027891476,0.2946412600739503,2.168231897745824,0.4186013442585114,0.3912087702259574,0.8682
5,0.9359437076909427,-1.031707816434475,0.11713290212285632,-0.08672667200116829,0.32099247624688093,0.23786630036630035,0.0625747580545382,0.07985896989371788,-0.3065108475402171,0.3863137253231941,0.3630921316840353,0.8866999999999999
6,0.9412851738973131,1.3095269621109862,0.2363755613175642,0.08253357667641428,0.39021754595871416,0.003434065934065934,0.12556001511150486,0.40775078699068834,-0.03165920437050988,0.32932116344774365,0.2886414295786868,0.8779999999999999
7,0.7991846277761083,1.0730466437621637,0.19009831709282965,0.03724538111993886,0.34295125306572044,0.06135531135531135,0.11893266617365776,0.3454716508410867,-0.08464713331132973,0.5682445590801435,0.5557250358189477,0.8873000000000001
8,1.0391311939904457,1.7960205525060235,0.19522782709152664,-0.06062219068682617,0.45107784486987945,0.17811355311355312,0.09393800716433966,0.17820762096977705,-0.7238077585070429,0.5068756217790277,0.4822515557784446,0.8733
9,0.9698942785022303,1.8583620733802755,0.3403844381744898,-0.043635986100192314,0.7244048624491719,0.10874542124542125,0.1754750212054721,-0.07564674234608171,-0.8416257475425448,0.5294037776576368,0.39199483751623376,0.9255
10,1.1608756319458442,1.6639329365016833,0.6472992599224128,0.43650098006716365,0.8580975397776619,0.00022893772893772894,0.2787978497048036,0.050809820800923666,-0.4199239433237858,0.8252923381445388,0.7029449072073741,0.9085
11,1.0176262935547091,0.6370491926163941,0.698668211060705,0.5079512421171587,0.8893851800042513,0.00022893772893772894,0.3432832934279639,0.10372498475209901,-0.029384297596880354,0.8370827080272646,0.6900422696189152,0.9045999999999998
12,1.1473622211776366,-0.4417403988319997,1.1061606429515947,0.7853118671139644,1.427009418789225,0.00022893772893772894,0.48204508678011326,0.3944436290217785,-0.38963655828397037,0.8824341044963704,0.7219912855905206,0.9027
13,1.4360152765924639,-0.9989888541231773,1.2711090922939063,1.1080993865902948,1.4341187979975178,0.00022893772893772894,0.4425820229817244,0.6150503107698048,-0.4339320178375634,0.8130269773204589,0.6050549326480088,0.9288
14,1.0918201852244014,-1.2553146859930733,1.110481337492354,0.9471373100174599,1.2738253649672477,0.00022893772893772894,0.5085458908529508,0.5158877608509664,-0.4720522569091418,0.7789354890702419,0.5669396534653202,0.9323
15,1.4188286983726566,-0.07208194175369594,1.418381348977679,1.1980948006754977,1.6386678972798605,0.00022893772893772894,0.49984235257029597,0.4528107239662147,-0.15738514610928042,0.9433128030807316,0.7217303131095798,0.9133
16,1.0569097118359925,-0.6213118581560919,0.7682760198831919,0.4223947593895187,1.1141572803768651,0.0006868131868131869,0.36345395036090383,0.18177979065273375,-0.5480536924416051,0.9102986184156178,0.6649770869675242,0.933
17,0.9419920015012155,0.13544420273092522,0.41056967055197496,0.0712412449202175,0.7498980961837325,0.03273809523809524,0.21792630399072724,-0.16331353624890554,-0.1022505174771249,0.9810363648841098,0.6876077240703513,0.9262999999999999
18,0.7216828720168804,1.0786533691907834,0.8238095051978093,0.6033798381627726,1.044239172232846,0.00022893772893772894,0.5707558937179128,-0.0692820879932345,0.20182482453216927,0.927075693721142,0.6315910032571086,0.9188
19,0.3213945257780408,1.1489291637395147,1.0414482941075813,0.7591229922097762,1.3237735960053865,0.00022893772893772894,1.6202022912282255,0.15451043734108402,0.06232236142015154,0.8074560843626911,0.498054236403111,0.8985
20,0.40225028681921005,1.2148647439758102,1.111640244563702,0.7263315325984351,1.4969489565289686,0.00022893772893772894,1.381776820290155,0.5087362390100596,0.08034730653332983,0.9034076894045304,0.5434407560236238,0.9106
21,0.027695735024239942,0.9994523274953565,0.9774990217281894,0.6125229893620308,1.342475054094348,0.00022893772893772894,,0.13146650868528525,0.268643200908476,0.8930838600151194,0.5174944570871819,0.9476
22,-0.16312062111799086,0.8375792868784652,1.2523847571287365,1.0035452333719705,1.5012242808855025,0.00022893772893772894,,0.04635456424424289,0.06768941609967204,0.8927035860929482,0.49921911614297987,0.9635999999999999
23,-0.017038261869055382,1.0784393676309476,1.392348815385903,1.1564290740160683,1.6282685567557376,0.00022893772893772894,,0.03373971146475263,0.0249470178188983,0.9701483686614132,0.5653421823627738,0.9718
24,-0.4678026962437691,0.5057783654342305,0.9879673428755764,0.7584605931854157,1.217474092565737,0.00022893772893772894,,-0.1207389979432093,-0.060480782617454036,0.9626959148336548,0.568953535023303,0.9849
