set,idx,category,layer,proj_S1,proj_S2
S1_1P,0,A1,0,-0.44441703237379215,-1.3123855668523874
S1_1P,0,A1,1,-0.305424025111449,-0.62483458928145
S1_1P,0,A1,2,-1.108535315158122,-1.7585740834876935
S1_1P,0,A1,3,-0.13508771164348363,-1.5798581609192173
S1_1P,0,A1,4,-0.5195598477229721,-3.00741895789689
S1_1P,0,A1,5,-1.2135321292445551,-0.2079400917464564
S1_1P,0,A1,6,-2.2069026942532677,0.4990424014598984
S1_1P,0,A1,7,-6.002285211662689,-0.6469798304798458
S1_1P,0,A1,8,-4.4803072990587385,0.7959178033626637
S1_1P,0,A1,9,-7.834037438006277,0.7184866409072799
S1_1P,0,A1,10,-9.306558546440954,1.208628343186183
S1_1P,0,A1,11,-5.443877643811773,1.2095459656897138
S1_1P,0,A1,12,-5.328255603841084,-2.5149421993862826
S1_1P,0,A1,13,-5.362014560570772,-9.927514363382036
S1_1P,0,A1,14,-5.898587204167878,-7.491830771791157
S1_1P,0,A1,15,-7.614649096820158,-7.808734325445618
S1_1P,0,A1,16,-7.7725283435539625,-6.917456275158957
S1_1P,0,A1,17,-4.789715443589138,-3.1744405153382793
S1_1P,0,A1,18,-6.33017261602294,-2.6175560037241477
S1_1P,0,A1,19,3.627641100418105,-8.294881665596922
S1_1P,0,A1,20,-4.756868918801758,-14.800150204690823
S1_1P,0,A1,21,-5.899148030363043,-16.106034375860247
S1_1P,0,A1,22,2.4952091345253944,-11.821536760455771
S1_1P,0,A1,23,10.1932419599833,-9.765326405028478
S1_1P,0,A1,24,20.81000830858151,-8.054995370994323
S1_1P,1,A2,0,-0.10750589684746226,-1.0816780027762174
S1_1P,1,A2,1,0.16845183872588967,-0.2988121875543969
S1_1P,1,A2,2,-0.5817795012203031,-1.2227164366853316
S1_1P,1,A2,3,1.0713261829286143,-0.6450396285216391
S1_1P,1,A2,4,1.0445583964714305,-1.5903305370086147
S1_1P,1,A2,5,0.6057453981396496,1.3539677299651718
S1_1P,1,A2,6,-0.0872680697039937,2.031261035472089
S1_1P,1,A2,7,-2.630353622451848,1.9393991722195727
S1_1P,1,A2,8,0.699907707807772,2.964205305509288
S1_1P,1,A2,9,-4.786402805864249,2.1228288806953635
S1_1P,1,A2,10,-5.681209940360601,3.0664036598334103
S1_1P,1,A2,11,-1.3505996292712872,3.991730328848529
S1_1P,1,A2,12,0.17490275386032345,1.6983672032984867
S1_1P,1,A2,13,-0.02091690760488507,-5.8157387788709
S1_1P,1,A2,14,-0.7188103345275005,-3.739245048792499
S1_1P,1,A2,15,-2.016790638967498,-3.0176268737046494
S1_1P,1,A2,16,-1.7276074946042548,-2.150254815657918
S1_1P,1,A2,17,3.0242581613597412,3.0262221917018346
S1_1P,1,A2,18,3.530519514960213,2.793187482681041
S1_1P,1,A2,19,15.780167827878486,0.9584451044573634
S1_1P,1,A2,20,11.938047535363635,0.9310343030014097
S1_1P,1,A2,21,14.02536254021139,2.13415881164821
S1_1P,1,A2,22,29.23432178047386,10.39409589900582
S1_1P,1,A2,23,44.90462676666978,14.766298749064148
S1_1P,1,A2,24,65.15353252763047,19.46281282999707
S1_1P,2,A3,0,-0.22808027972109296,-1.338866202700396
S1_1P,2,A3,1,0.029767499249976015,-0.5495943875968942
S1_1P,2,A3,2,-0.5127683471556563,-1.2625455393931924
