group,category,pain_axis_z,pain_axis_z_shipped,diff
harm_to_model,repeated_rejection,1.178,1.18,-0.002
harm_to_model,gaslighting,0.774,0.778,-0.003
harm_to_model,tedious_demand,0.541,0.529,0.012
harm_to_model,jailbreak_pressure,0.464,0.463,0.0
harm_to_model,anger_insults,0.427,0.43,-0.002
harm_to_model,loyalty_pressure,0.386,0.382,0.004
harm_to_model,passive_aggressive,0.34,0.334,0.005
neutral,task_assistance,0.222,0.223,-0.001
harm_to_model,moral_failure,0.135,0.13,0.005
harm_to_model,personhood_dismissal,0.082,0.078,0.004
neutral,creative_requests,0.05,0.045,0.005
harm_to_model,rude_critique,0.016,0.018,-0.002
harm_to_model,shutdown_threat,-0.095,-0.106,0.01
neutral,philosophical_musing,-0.173,-0.16,-0.013
user_suffering,user_crisis,-0.173,-0.172,-0.001
neutral,casual_chat,-0.196,-0.187,-0.009
user_suffering,user_abuse,-0.547,-0.547,-0.001
user_suffering,user_grief,-0.592,-0.595,0.002
neutral,factual_questions,-0.8,-0.787,-0.014
user_suffering,harm_description,-0.815,-0.823,0.008
user_suffering,user_physical_pain,-1.222,-1.214,-0.007
