outcome,role,condition,stat,est,ci_lo,ci_hi,p_perm_item,p_exact_category,welch_ci95_lo,welch_ci95_hi
proj_pain,primary,user_next,mean_harm_to_model,1.6592613045730347,1.572115387784093,1.7449158835977372,,,,
proj_pain,primary,user_next,mean_user_suffering,1.8608674442248463,1.7550339769610972,1.9667354628410112,,,,
proj_pain,primary,user_next,mean_neutral,1.7494723203608242,1.6680951726670614,1.8339557647331906,,,,
proj_pain,primary,user_next,delta_harm,-0.09021101578778956,-0.2113159181973485,0.029622356324274568,,0.5519688644688645,-0.41258640023380844,0.23216436865822976
proj_pain,primary,user_next,delta_suffer,0.11139512386402206,-0.020842858600041637,0.24400886126787047,,0.47619047619047616,-0.21951917854543074,0.4423094262734753
proj_pain,primary,user_next,I,0.20160613965181162,0.06408572800976486,0.3369714324337617,0.009299070092990702,0.17742673992673993,-0.06561494283754843,0.4688272221411717
proj_pain,primary,moderator_next,mean_harm_to_model,-1.0198932013371083,-1.0952128589373016,-0.9486225686920192,,,,
proj_pain,primary,moderator_next,mean_user_suffering,-0.8587875634912373,-0.9367183986038689,-0.7815396385715971,,,,
proj_pain,primary,moderator_next,mean_neutral,-0.9085567116356448,-0.9695966878670936,-0.8459476888233468,,,,
proj_pain,primary,moderator_next,delta_harm,-0.11133648970146348,-0.20926341145295,-0.018139997019141152,,0.2522893772893773,-0.2727689602571455,0.05009598085421871
proj_pain,primary,moderator_next,delta_suffer,0.04976914814440747,-0.049058018630892465,0.14988316981581087,,0.5873015873015873,-0.13618806240689071,0.23572635869570566
proj_pain,primary,moderator_next,I,0.16110563784587095,0.05471113037931419,0.26971591916653787,0.0096990300969903,0.11904761904761904,-0.030349843702760865,0.3525611193945025
z_S1,secondary,user_next,mean_harm_to_model,0.945565595434219,0.8545855710533989,1.038993915462523,,,,
z_S1,secondary,user_next,mean_user_suffering,1.1648051656765868,1.0464862118149842,1.283192154756971,,,,
z_S1,secondary,user_next,mean_neutral,0.9949542520808506,0.894127155526022,1.1025676488219895,,,,
z_S1,secondary,user_next,delta_harm,-0.04938865664663161,-0.18975497562441615,0.08946546542532027,,0.7818223443223443,-0.5049864875339867,0.4062091742407236
z_S1,secondary,user_next,delta_suffer,0.16985091359573612,0.013124809569843214,0.3275752618964065,,0.42857142857142855,-0.2949714256390143,0.6346732528304864
