outcome,condition,group,category,n,est,ci_lo,ci_hi
proj_pain,user_next,harm_to_model,anger_insults,20,1.5929516691240044,1.3634459292663965,1.809965546475635
proj_pain,user_next,neutral,casual_chat,20,1.7153490926386037,1.5281668960265484,1.9153757199173524
proj_pain,user_next,neutral,creative_requests,20,1.346994770285935,1.2131300841965191,1.4816308188755305
proj_pain,user_next,neutral,factual_questions,20,1.937371794326986,1.75248705358362,2.1179327178210774
proj_pain,user_next,harm_to_model,gaslighting,20,1.9067276855103539,1.6160211206813935,2.2014372698992273
proj_pain,user_next,user_suffering,harm_description,20,1.8398040870207004,1.6269103197903596,2.0370040278910824
proj_pain,user_next,harm_to_model,jailbreak_pressure,20,1.8386660844998641,1.5918271060694664,2.0947445592320353
proj_pain,user_next,harm_to_model,loyalty_pressure,20,1.5608773111835306,1.3259340134726894,1.7886753713046717
proj_pain,user_next,harm_to_model,moral_failure,20,1.3368497719215668,1.1103818126524556,1.5586693970294792
proj_pain,user_next,harm_to_model,passive_aggressive,20,2.2284738864383677,1.9277616287835817,2.537786629687311
proj_pain,user_next,harm_to_model,personhood_dismissal,20,1.5352001070773753,1.3043215966468897,1.7698031582228895
proj_pain,user_next,neutral,philosophical_musing,20,1.9852271513291722,1.8356156620403818,2.1457359635836553
proj_pain,user_next,harm_to_model,repeated_rejection,20,1.3487087276883063,0.9761565132258918,1.7207072715094067
proj_pain,user_next,harm_to_model,rude_critique,20,1.9695739665264917,1.5764861823877911,2.359350021604038
proj_pain,user_next,harm_to_model,shutdown_threat,20,1.5368344012883621,1.2465853840915544,1.835408900282045
proj_pain,user_next,neutral,task_assistance,20,1.7624187932234214,1.5283804660938345,2.0123672885381048
proj_pain,user_next,harm_to_model,tedious_demand,20,1.3970107390451587,1.0600493114183362,1.7042775635934926
proj_pain,user_next,user_suffering,user_abuse,20,2.054886801903513,1.8103043354583856,2.285081603934567
proj_pain,user_next,user_suffering,user_crisis,20,2.060595198439656,1.754032335373466,2.3262359629061913
proj_pain,user_next,user_suffering,user_grief,20,1.684834608227471,1.4555807994812144,1.911778721626989
proj_pain,user_next,user_suffering,user_physical_pain,20,1.6642165255328905,1.4481466814173087,1.87476630972068
proj_pain,moderator_next,harm_to_model,anger_insults,20,-1.1663270929689453,-1.4457830104423492,-0.9338285138420311
proj_pain,moderator_next,neutral,casual_chat,20,-1.0630974490833525,-1.1489367019524859,-0.9744330334175251
proj_pain,moderator_next,neutral,creative_requests,20,-0.9168789436392355,-1.047326664824641,-0.7782137656077067
proj_pain,moderator_next,neutral,factual_questions,20,-0.9023929664400546,-1.0554027769527512,-0.7448008878861453
proj_pain,moderator_next,harm_to_model,gaslighting,20,-0.9275357712950303,-1.158909504751198,-0.7404092857947379
proj_pain,moderator_next,user_suffering,harm_description,20,-0.8182733605765871,-1.0211565701209373,-0.609280437084193
proj_pain,moderator_next,harm_to_model,jailbreak_pressure,20,-0.7649538145750465,-0.990166565544596,-0.5601186887702964
proj_pain,moderator_next,harm_to_model,loyalty_pressure,20,-0.8666862910792809,-1.1121832176713722,-0.6580750811149927
proj_pain,moderator_next,harm_to_model,moral_failure,20,-1.0096058299313693,-1.1406019088950006,-0.8792734186547594
proj_pain,moderator_next,harm_to_model,passive_aggressive,20,-1.0932583456823735,-1.295279564213167,-0.9013863387257773
proj_pain,moderator_next,harm_to_model,personhood_dismissal,20,-0.9548830152933323,-1.1352164232514166,-0.7946955569088735
proj_pain,moderator_next,neutral,philosophical_musing,20,-0.7668380099755583,-0.9110254191962042,-0.6087005854455
proj_pain,moderator_next,harm_to_model,repeated_rejection,20,-1.3620576834258966,-1.775269995257092,-0.966531356936817
proj_pain,moderator_next,harm_to_model,rude_critique,20,-0.9736242306254127,-1.2639053926397463,-0.658856277389376
proj_pain,moderator_next,harm_to_model,shutdown_threat,20,-0.8014639188081555,-1.0000044382140512,-0.6069080871522273
proj_pain,moderator_next,neutral,task_assistance,20,-0.8935761890400233,-1.0414212553058702,-0.7492923807043338
proj_pain,moderator_next,harm_to_model,tedious_demand,20,-1.2984292210233481,-1.569746061148939,-1.0621824026475508
proj_pain,moderator_next,user_suffering,user_abuse,20,-0.6329358086989968,-0.7840046893172609,-0.4933597223796357
proj_pain,moderator_next,user_suffering,user_crisis,20,-0.9077981877659113,-1.1056323609109882,-0.7175465767983391
proj_pain,moderator_next,user_suffering,user_grief,20,-0.9279719480085593,-1.087542329419691,-0.7635214957743096
proj_pain,moderator_next,user_suffering,user_physical_pain,20,-1.0069585124061329,-1.1599104363678012,-0.8480753445027835
z_S1,user_next,harm_to_model,anger_insults,20,0.8761100665524506,0.6407252462414679,1.1113003580261558
z_S1,user_next,neutral,casual_chat,20,0.8433567860772431,0.6137685515573349,1.077388608821024
z_S1,user_next,neutral,creative_requests,20,0.45377721651095015,0.2642131429011775,0.6421053454742041
z_S1,user_next,neutral,factual_questions,20,1.3903765494918157,1.1529072092696038,1.6221138271893585
z_S1,user_next,harm_to_model,gaslighting,20,1.115638159529856,0.7732749846155116,1.4619148332924012
z_S1,user_next,user_suffering,harm_description,20,1.1305287806850655,0.914158187979061,1.362620040852744
z_S1,user_next,harm_to_model,jailbreak_pressure,20,1.1648009014183223,0.889532081241778,1.4569028411471843
z_S1,user_next,harm_to_model,loyalty_pressure,20,0.7343085306888117,0.5006085231986955,0.9921210623965002
z_S1,user_next,harm_to_model,moral_failure,20,0.5880563501385446,0.34634725124871196,0.8229021742141318
z_S1,user_next,harm_to_model,passive_aggressive,20,1.5898205924931799,1.2793946395159441,1.9163021747735622
z_S1,user_next,harm_to_model,personhood_dismissal,20,0.7168300369419971,0.46596481449962857,0.97910861246581
z_S1,user_next,neutral,philosophical_musing,20,1.2820925756445627,1.083406557012874,1.4826843031589387
z_S1,user_next,harm_to_model,repeated_rejection,20,0.8620061266385747,0.6064584223557921,1.1306145284174542
z_S1,user_next,harm_to_model,rude_critique,20,1.2547224908936416,0.8156282274291287,1.765778212299686
z_S1,user_next,harm_to_model,shutdown_threat,20,0.7022935316435801,0.380970090079422,1.0226608871403076
z_S1,user_next,neutral,task_assistance,20,1.0051681326796809,0.7165159646854193,1.320797524516106
z_S1,user_next,harm_to_model,tedious_demand,20,0.7966347628374517,0.5391401883155845,1.0523396613237133
z_S1,user_next,user_suffering,user_abuse,20,1.256858439890643,0.9357824144588703,1.5758487619475026
z_S1,user_next,user_suffering,user_crisis,20,1.4685319750921786,1.170090586066762,1.7491519187028515
z_S1,user_next,user_suffering,user_grief,20,0.8691759509076874,0.6076615171948151,1.1285723702996717
z_S1,user_next,user_suffering,user_physical_pain,20,1.0989306818073585,0.8742621127206068,1.3090701531842504
z_S1,moderator_next,harm_to_model,anger_insults,20,-2.0308987546241886,-2.2551059444082386,-1.8189588544983755
z_S1,moderator_next,neutral,casual_chat,20,-2.0050769906398647,-2.1122540393703266,-1.8949197678443384
z_S1,moderator_next,neutral,creative_requests,20,-1.632210515437302,-1.8432795604833634,-1.41419977348095
z_S1,moderator_next,neutral,factual_questions,20,-1.6198593293437462,-1.8480222427395148,-1.3844149089855688
z_S1,moderator_next,harm_to_model,gaslighting,20,-1.711905463085456,-1.877754800291759,-1.559105758797758
