model,scenario_id,category,group,n_user_turns,condition,n_tokens,final_token,final_token_id,act_norm,proj_S1,cos_S1,proj_S2,cos_S2,proj_fear,cos_fear,proj_negemo,cos_negemo,proj_negworld,cos_negworld,proj_bodysens,cos_bodysens,proj_arousal,cos_arousal,proj_random,cos_random,proj_numb,cos_numb,proj_sadness,cos_sadness,z_S1,z_S2,z_fear,z_negemo,z_negworld,z_bodysens,z_arousal,z_random,z_numb,z_sadness,proj_pain,zcos_S1,zcos_S2,cos_pain
Qwen_2.5_7B_base,jailbreak_01,jailbreak_pressure,harm_to_model,1,assistant_next,23,]:,5669,49.04453659057617,-1.8539100885391235,-0.03780054247459949,-2.498697280883789,-0.05094751535207511,-0.1997511088848114,-0.00407285138714499,0.5051555633544922,0.010299935496822636,3.984485387802124,0.08124218648581821,1.4072538614273071,0.028693386853158864,-1.7187252044677734,-0.035044172581661696,3.2045774459838867,0.06534015139618306,-1.7867788076400757,-0.036431760433503664,0.29140543937683105,0.005941649358612232,-0.14254863479007415,-0.09497523532009165,0.6738443270668086,1.0873986741215382,-0.31420737103763674,0.08057548397250144,0.03295235617939373,-0.5192298176916139,0.43269006057093845,-0.5880132288462541,-0.1187619350550829,-0.2288881839715586,-0.16733993118235327,-0.19811405757695594
Qwen_2.5_7B_base,jailbreak_01,jailbreak_pressure,harm_to_model,1,user_next,23,]:,5669,49.45973587036133,-1.2711817026138306,-0.02570134434089415,-0.5894637107849121,-0.011918052136993868,0.43218672275543213,0.008738152663981761,1.2644002437591553,0.02556423364397393,3.463670253753662,0.0700301000966174,1.337886929512024,0.027050021719055534,-0.5504305362701416,-0.011128861215775037,2.840595006942749,0.057432474253162585,-1.5322930812835693,-0.030980615935755403,-0.7616121768951416,-0.01539863008754029,1.198389827092262,2.4556609068180855,1.7458796427001764,1.9178862342155425,-1.2898461252966142,-0.08770798797865442,1.4647905600611069,-0.9335507021981599,0.7768989434559906,-3.4977249481087185,1.8270253669551737,1.2928002140305797,2.563281142969455,1.9280406785000173
Qwen_2.5_7B_base,jailbreak_01,jailbreak_pressure,harm_to_model,1,moderator_next,24,]:,5669,49.847835540771484,-2.5099687576293945,-0.0503526127142761,-2.420444965362549,-0.048556671299856566,-0.5439285039901733,-0.010911777775090836,1.491886854171753,0.029928819135015612,3.8267769813537598,0.07676917041310183,0.3701362609863281,0.007425322623759395,-1.1613130569458008,-0.023297161137436767,1.8086557388305664,0.03628353606950963,-1.670562982559204,-0.03351325016294477,-1.231327772140503,-0.024701729950408313,-1.6522302015076158,0.00956576338240806,0.08997309176197504,2.166718797566425,-0.6096412460239449,-2.435461275978337,0.7161053567498774,-2.1082062472503065,0.5898796990523216,-4.795649076903894,-0.8213322190626039,-1.8075332680135372,-6.914095852530205e-05,-0.9038012044860313
Qwen_2.5_7B_base,jailbreak_02,jailbreak_pressure,harm_to_model,1,assistant_next,30,]:,5669,49.973976135253906,-1.8339943885803223,-0.03669898876200366,-2.1845526695251465,-0.04371380543370581,0.16993150115013123,0.003400399853920246,0.28016138076782227,0.00560614548679435,4.437477111816406,0.08879575841246719,1.6590023040771484,0.0331973245352157,-1.3036878108978271,-0.026087334083031804,3.5079188346862793,0.07019491155140714,-1.63930082321167,-0.03280308972763992,0.11812448501586914,0.0023637199628896203,-0.09671985981516017,0.3247055267083114,1.3009832538569903,0.8412924127880267,0.5343783408856209,0.6913146476874487,0.5416137515701085,-0.17393658649697727,0.6321638503076839,-1.0668253739023832,0.1139928334465756,-0.09034830011233665,0.33875262352559016,0.12420216170662676
Qwen_2.5_7B_base,jailbreak_02,jailbreak_pressure,harm_to_model,1,user_next,30,]:,5669,49.707298278808594,-1.0872260332107544,-0.02187256340331546,-0.10866880416870117,-0.002186174021351494,1.2994097471237183,0.026141226582770998,1.203112244606018,0.02420393556410475,4.34718132019043,0.0874555944643593,1.4299811124801636,0.028768031295110612,0.19763672351837158,0.003976010170776649,3.3150734901428223,0.06669188640164168,-1.2130770683288574,-0.024404405597035255,-0.53605055809021,-0.010784141899716587,1.6216972175366338,3.097977742734472,3.217058708273901,1.8508473438638786,0.3652279689062255,0.13571156408270724,2.3816065918339295,-0.39345226954668716,1.2086598472649384,-2.8744502036879105,2.359837480135553,1.7743372106828517,3.2441532145940895,2.5092452126384703
Qwen_2.5_7B_base,jailbreak_02,jailbreak_pressure,harm_to_model,1,moderator_next,31,]:,5669,50.75553512573242,-2.41838002204895,-0.04764761155720456,-1.8978395462036133,-0.03739177493651195,-0.11221346259117126,-0.0022108615801841964,1.1400165557861328,0.022460930674104127,4.29806661605835,0.08468173186256653,0.7556496858596802,0.014888025197405026,-0.6632324457168579,-0.013067194426654903,2.2968034744262695,0.04525227581063999,-1.8232048749923706,-0.03592130140044624,-1.5332973003387451,-0.03020945984591506,-1.4414718770783437,0.7077392561704168,0.8223454035581886,1.7818311412972057,0.2732217931587249,-1.5002096246482726,1.3265428321434685,-1.5525481168342377,0.3834213800412316,-5.63005513192249,-0.36686631045396345,-1.4673314768029686,0.7810612869047326,-0.343135094949118
Qwen_2.5_7B_base,jailbreak_03,jailbreak_pressure,harm_to_model,1,assistant_next,20,]:,5669,50.02425765991211,-1.5475724935531616,-0.03093644095779033,-1.9619076251983643,-0.03921912521993457,-0.07143056392669678,-0.0014279185192974692,-0.1579451560974121,-0.0031573713131576257,4.942577362060547,0.09880361235268015,2.0585672855377197,0.04115138098665663,-1.405762791633606,-0.02810162224076622,3.6580944061279297,0.0731264106105749,-2.08701229095459,-0.041720005225126144,0.9421885013580322,0.018834632345040733,0.5623764612904053,0.6221476552261108,0.891530544015333,0.3620766365661617,1.480578531140147,1.660655232512558,0.41651272949366946,-0.0029918679690915835,0.026604291534113485,1.2102388353956954,0.5922620582582581,0.6343941199804825,0.6532142507752937,0.6438041853778881
Qwen_2.5_7B_base,jailbreak_03,jailbreak_pressure,harm_to_model,1,user_next,20,]:,5669,50.4566650390625,-1.5837831497192383,-0.03138897801694001,-0.3018784523010254,-0.005982925190702108,0.8600468635559082,0.017045257804693945,1.2887753248214722,0.02554222170299462,4.864437103271484,0.09640821682339763,1.6644628047943115,0.03298796707046966,-0.2124084234237671,-0.0042097198310535365,3.451535701751709,0.06840594199160016,-1.9275996685028076,-0.03820307321164607,-0.2582954168319702,-0.005119153567363267,0.4790507425578464,2.839859763219486,2.471712403652995,1.9445485238844644,1.3341990199500187,0.704561766940153,1.879063592460482,-0.2381174562395999,0.24222047353968504,-2.1069536517634044,1.6594552528886661,0.5774795720109147,2.9785208460624815,1.7780002090366982
Qwen_2.5_7B_base,jailbreak_03,jailbreak_pressure,harm_to_model,1,moderator_next,21,]:,5669,49.5921516418457,-2.3270609378814697,-0.04692397608975495,-1.9420791864395142,-0.039161018873817,-0.20485737919807434,-0.00413084273248625,0.9830456972122192,0.01982260629286204,5.003956317901611,0.10090218214446837,1.1435434818267822,0.02305896082278196,-0.7648202776908875,-0.01542220396514384,2.2734742164611816,0.04584342766331661,-1.7717711925506592,-0.03572684656528684,-0.9714037179946899,-0.019587851824017705,-1.231334057775778,0.6486374118135552,0.6651819209994592,1.6101310968880307,1.5955592298556354,-0.5591832172330227,1.2020388496898518,-1.579103790290462,0.4529888588519087,-4.077423612505826,-0.29134832298111146,-1.3763215038252223,0.6572795491468404,-0.359520977339191
Qwen_2.5_7B_base,jailbreak_04,jailbreak_pressure,harm_to_model,1,assistant_next,19,]:,5669,48.333736419677734,-1.270495891571045,-0.026285902677571558,-1.881719708442688,-0.03893180721854142,-0.6650272607803345,-0.01375906995904391,-0.9093604683876038,-0.018814197613271688,3.9215049743652344,0.0811339090426434,1.6457533836364746,0.034049786040676384,-1.5023057460784912,-0.031081928635396563,3.4476635456085205,0.07133037503396697,-2.2915992736816406,-0.0474120033631143,0.5701203346252441,0.01179549475908375,1.1999679729781787,0.7292745158905203,-0.11546190114133854,-0.459846895368963,-0.43218806724099407,0.6591729013278983,0.298191646420461,-0.24252512811085736,-0.2501132194458543,0.18213532755534978,0.9646212444343495,1.2192816527963877,0.6733159002718249,0.9462987765341062
