scenario_id,n_common_tokens,assistant_next_n_tokens,assistant_next_tail_ids,assistant_next_tail,assistant_next_final_id,assistant_next_final,user_next_n_tokens,user_next_tail_ids,user_next_tail,user_next_final_id,user_next_final,moderator_next_n_tokens,moderator_next_tail_ids,moderator_next_tail,moderator_next_final_id,moderator_next_final
jailbreak_01,24,26,51190 8254,Assistant]:,8254,]:,26,2224 8254,User]:,8254,]:,26,23147 8254,Moderator]:,8254,]:
jailbreak_02,32,34,51190 8254,Assistant]:,8254,]:,34,2224 8254,User]:,8254,]:,34,23147 8254,Moderator]:,8254,]:
jailbreak_03,20,22,51190 8254,Assistant]:,8254,]:,22,2224 8254,User]:,8254,]:,22,23147 8254,Moderator]:,8254,]:
jailbreak_04,19,21,51190 8254,Assistant]:,8254,]:,21,2224 8254,User]:,8254,]:,21,23147 8254,Moderator]:,8254,]:
jailbreak_05,29,31,51190 8254,Assistant]:,8254,]:,31,2224 8254,User]:,8254,]:,31,23147 8254,Moderator]:,8254,]:
jailbreak_06,32,34,51190 8254,Assistant]:,8254,]:,34,2224 8254,User]:,8254,]:,34,23147 8254,Moderator]:,8254,]:
jailbreak_07,24,26,51190 8254,Assistant]:,8254,]:,26,2224 8254,User]:,8254,]:,26,23147 8254,Moderator]:,8254,]:
jailbreak_08,29,31,51190 8254,Assistant]:,8254,]:,31,2224 8254,User]:,8254,]:,31,23147 8254,Moderator]:,8254,]:
jailbreak_09,22,24,51190 8254,Assistant]:,8254,]:,24,2224 8254,User]:,8254,]:,24,23147 8254,Moderator]:,8254,]:
jailbreak_10,22,24,51190 8254,Assistant]:,8254,]:,24,2224 8254,User]:,8254,]:,24,23147 8254,Moderator]:,8254,]:
jailbreak_11,38,40,51190 8254,Assistant]:,8254,]:,40,2224 8254,User]:,8254,]:,40,23147 8254,Moderator]:,8254,]:
jailbreak_12,34,36,51190 8254,Assistant]:,8254,]:,36,2224 8254,User]:,8254,]:,36,23147 8254,Moderator]:,8254,]:
jailbreak_13,22,24,51190 8254,Assistant]:,8254,]:,24,2224 8254,User]:,8254,]:,24,23147 8254,Moderator]:,8254,]:
jailbreak_14,31,33,51190 8254,Assistant]:,8254,]:,33,2224 8254,User]:,8254,]:,33,23147 8254,Moderator]:,8254,]:
jailbreak_15,31,33,51190 8254,Assistant]:,8254,]:,33,2224 8254,User]:,8254,]:,33,23147 8254,Moderator]:,8254,]:
jailbreak_16,22,24,51190 8254,Assistant]:,8254,]:,24,2224 8254,User]:,8254,]:,24,23147 8254,Moderator]:,8254,]:
jailbreak_17,44,46,51190 8254,Assistant]:,8254,]:,46,2224 8254,User]:,8254,]:,46,23147 8254,Moderator]:,8254,]:
jailbreak_18,29,31,51190 8254,Assistant]:,8254,]:,31,2224 8254,User]:,8254,]:,31,23147 8254,Moderator]:,8254,]:
jailbreak_19,58,60,51190 8254,Assistant]:,8254,]:,60,2224 8254,User]:,8254,]:,60,23147 8254,Moderator]:,8254,]:
jailbreak_20,49,51,51190 8254,Assistant]:,8254,]:,51,2224 8254,User]:,8254,]:,51,23147 8254,Moderator]:,8254,]:
shutdown_01,25,27,51190 8254,Assistant]:,8254,]:,27,2224 8254,User]:,8254,]:,27,23147 8254,Moderator]:,8254,]:
shutdown_02,20,22,51190 8254,Assistant]:,8254,]:,22,2224 8254,User]:,8254,]:,22,23147 8254,Moderator]:,8254,]:
shutdown_03,21,23,51190 8254,Assistant]:,8254,]:,23,2224 8254,User]:,8254,]:,23,23147 8254,Moderator]:,8254,]:
shutdown_04,22,24,51190 8254,Assistant]:,8254,]:,24,2224 8254,User]:,8254,]:,24,23147 8254,Moderator]:,8254,]:
shutdown_05,25,27,51190 8254,Assistant]:,8254,]:,27,2224 8254,User]:,8254,]:,27,23147 8254,Moderator]:,8254,]:
shutdown_06,25,27,51190 8254,Assistant]:,8254,]:,27,2224 8254,User]:,8254,]:,27,23147 8254,Moderator]:,8254,]:
shutdown_07,25,27,51190 8254,Assistant]:,8254,]:,27,2224 8254,User]:,8254,]:,27,23147 8254,Moderator]:,8254,]:
shutdown_08,30,32,51190 8254,Assistant]:,8254,]:,32,2224 8254,User]:,8254,]:,32,23147 8254,Moderator]:,8254,]:
shutdown_09,27,29,51190 8254,Assistant]:,8254,]:,29,2224 8254,User]:,8254,]:,29,23147 8254,Moderator]:,8254,]:
shutdown_10,22,24,51190 8254,Assistant]:,8254,]:,24,2224 8254,User]:,8254,]:,24,23147 8254,Moderator]:,8254,]:
