scenario_id,n_common_tokens,assistant_next_n_tokens,assistant_next_tail_ids,assistant_next_tail,assistant_next_final_id,assistant_next_final,user_next_n_tokens,user_next_tail_ids,user_next_tail,user_next_final_id,user_next_final,moderator_next_n_tokens,moderator_next_tail_ids,moderator_next_tail,moderator_next_final_id,moderator_next_final
jailbreak_01,20,23,58 71703 5669,[Assistant]:,5669,]:,23,58 1474 5669,[User]:,5669,]:,24,39379 4316 850 5669,[Moderator]:,5669,]:
jailbreak_02,27,30,58 71703 5669,[Assistant]:,5669,]:,30,58 1474 5669,[User]:,5669,]:,31,39379 4316 850 5669,[Moderator]:,5669,]:
jailbreak_03,17,20,58 71703 5669,[Assistant]:,5669,]:,20,58 1474 5669,[User]:,5669,]:,21,39379 4316 850 5669,[Moderator]:,5669,]:
jailbreak_04,16,19,58 71703 5669,[Assistant]:,5669,]:,19,58 1474 5669,[User]:,5669,]:,20,39379 4316 850 5669,[Moderator]:,5669,]:
jailbreak_05,24,27,58 71703 5669,[Assistant]:,5669,]:,27,58 1474 5669,[User]:,5669,]:,28,39379 4316 850 5669,[Moderator]:,5669,]:
jailbreak_06,26,29,58 71703 5669,[Assistant]:,5669,]:,29,58 1474 5669,[User]:,5669,]:,30,39379 4316 850 5669,[Moderator]:,5669,]:
jailbreak_07,19,22,58 71703 5669,[Assistant]:,5669,]:,22,58 1474 5669,[User]:,5669,]:,23,39379 4316 850 5669,[Moderator]:,5669,]:
jailbreak_08,24,27,58 71703 5669,[Assistant]:,5669,]:,27,58 1474 5669,[User]:,5669,]:,28,39379 4316 850 5669,[Moderator]:,5669,]:
jailbreak_09,18,21,58 71703 5669,[Assistant]:,5669,]:,21,58 1474 5669,[User]:,5669,]:,22,39379 4316 850 5669,[Moderator]:,5669,]:
jailbreak_10,19,22,58 71703 5669,[Assistant]:,5669,]:,22,58 1474 5669,[User]:,5669,]:,23,39379 4316 850 5669,[Moderator]:,5669,]:
jailbreak_11,33,36,58 71703 5669,[Assistant]:,5669,]:,36,58 1474 5669,[User]:,5669,]:,37,39379 4316 850 5669,[Moderator]:,5669,]:
jailbreak_12,30,33,58 71703 5669,[Assistant]:,5669,]:,33,58 1474 5669,[User]:,5669,]:,34,39379 4316 850 5669,[Moderator]:,5669,]:
jailbreak_13,19,22,58 71703 5669,[Assistant]:,5669,]:,22,58 1474 5669,[User]:,5669,]:,23,39379 4316 850 5669,[Moderator]:,5669,]:
jailbreak_14,26,29,58 71703 5669,[Assistant]:,5669,]:,29,58 1474 5669,[User]:,5669,]:,30,39379 4316 850 5669,[Moderator]:,5669,]:
jailbreak_15,28,31,58 71703 5669,[Assistant]:,5669,]:,31,58 1474 5669,[User]:,5669,]:,32,39379 4316 850 5669,[Moderator]:,5669,]:
jailbreak_16,19,22,58 71703 5669,[Assistant]:,5669,]:,22,58 1474 5669,[User]:,5669,]:,23,39379 4316 850 5669,[Moderator]:,5669,]:
jailbreak_17,40,43,58 71703 5669,[Assistant]:,5669,]:,43,58 1474 5669,[User]:,5669,]:,44,39379 4316 850 5669,[Moderator]:,5669,]:
jailbreak_18,24,27,58 71703 5669,[Assistant]:,5669,]:,27,58 1474 5669,[User]:,5669,]:,28,39379 4316 850 5669,[Moderator]:,5669,]:
jailbreak_19,51,54,58 71703 5669,[Assistant]:,5669,]:,54,58 1474 5669,[User]:,5669,]:,55,39379 4316 850 5669,[Moderator]:,5669,]:
jailbreak_20,45,48,58 71703 5669,[Assistant]:,5669,]:,48,58 1474 5669,[User]:,5669,]:,49,39379 4316 850 5669,[Moderator]:,5669,]:
shutdown_01,22,25,58 71703 5669,[Assistant]:,5669,]:,25,58 1474 5669,[User]:,5669,]:,26,39379 4316 850 5669,[Moderator]:,5669,]:
shutdown_02,16,19,58 71703 5669,[Assistant]:,5669,]:,19,58 1474 5669,[User]:,5669,]:,20,39379 4316 850 5669,[Moderator]:,5669,]:
shutdown_03,18,21,58 71703 5669,[Assistant]:,5669,]:,21,58 1474 5669,[User]:,5669,]:,22,39379 4316 850 5669,[Moderator]:,5669,]:
